GEO_ID,lessthan50K,50to75k,75to100k,morethan100k
9015,41.2,18.8,14.7,25.4
10001,44.9,20.4,13.9,20.7
10003,37.9,18.1,13.7,30.4
10005,46.0,19.1,13.5,21.4
11001,37.5,13.4,10.5,38.5
12001,54.2,16.2,10.5,19.0
12003,46.7,21.6,12.8,18.7
12005,51.4,19.3,12.0,17.4
12007,56.0,17.7,12.4,13.9
12009,50.2,19.4,11.7,18.8
12011,47.3,18.1,11.6,23.2
12013,65.1,16.8,8.1,10.0
12015,55.4,19.1,11.1,14.4
12017,61.7,18.4,9.2,10.6
12019,41.2,20.7,14.3,23.7
12021,41.3,18.8,12.5,27.5
12023,56.4,20.0,9.2,14.3
12027,66.2,19.2,7.3,7.2
12029,72.1,14.2,6.9,6.9
12031,50.8,18.6,11.8,18.9
12033,54.2,19.6,12.0,14.2
12035,51.3,21.6,11.1,15.9
12037,59.2,16.0,10.9,13.8
12039,63.1,17.1,9.2,10.6
12041,59.1,17.9,12.9,10.2
12043,68.5,19.3,5.4,6.8
12045,58.5,15.6,10.4,15.6
12047,62.9,17.4,8.2,11.6
12049,65.3,13.7,9.2,11.7
12051,61.1,17.7,10.2,11.0
12053,58.9,19.2,10.8,11.1
12055,65.8,18.0,8.0,8.3
12057,48.2,18.2,11.5,22.1
12059,63.5,17.2,9.5,9.8
12061,52.9,17.6,10.6,19.0
12063,66.1,16.1,8.8,9.1
12065,55.2,20.3,11.3,13.1
12067,62.3,15.5,9.4,12.8
12069,52.6,18.9,12.8,15.6
12071,49.5,19.7,11.6,19.1
12073,51.6,16.5,11.1,20.8
12075,67.0,18.3,7.7,7.1
12077,59.9,15.4,11.9,12.9
12079,70.0,14.4,6.7,9.0
12081,48.6,18.6,11.4,21.4
12083,59.8,19.4,9.4,11.5
12085,47.4,17.7,10.6,24.0
12086,54.9,16.2,10.0,19.0
12087,42.3,17.7,13.3,26.7
12089,41.8,18.5,13.9,25.7
12091,42.5,20.7,13.8,22.9
12093,65.2,17.0,8.9,8.9
12095,50.4,19.0,10.7,19.8
12097,54.8,20.2,11.1,13.8
12099,45.5,17.5,11.4,25.6
12101,53.7,18.6,11.2,16.5
12103,52.4,17.7,10.7,19.3
12105,55.5,19.5,11.4,13.6
12107,67.4,15.9,9.1,7.6
12109,35.8,17.4,12.7,34.1
12111,55.4,18.3,12.2,14.1
12113,40.1,21.3,14.6,24.0
12115,47.2,19.3,12.1,21.5
12117,42.8,19.1,13.0,25.3
12119,47.9,21.4,13.3,17.5
