,ONS ID,Constituency name,County name,Con2015,Lab2015,Firstparty2015,Con2017,Lab2017,Firstparty2017,Con2019,Lab2019,Firstparty2019,Leave
169,E14000664,Derbyshire Dales,Derbyshire,52.374316420683684,22.721226325457657,Con,60.00282423190979,31.10084525226443,Con,58.693218170185546,23.94233845169546,Con,51.2
170,E14000665,Devizes,Wiltshire,57.73782802105865,12.97800269354773,Con,62.74385784594707,20.96732749589864,Con,63.096125917494206,15.382501864426738,Con,53.5
171,E14000666,Dewsbury,West Yorkshire,39.07327988066381,41.77885511840388,Lab,45.084446016447075,50.95764435405429,Lab,46.42572132862792,43.65745092127897,Con,57.1
172,E14000667,Don Valley,South Yorkshire,25.2695005413548,46.18227180718355,Lab,41.71088109941724,52.95076976602592,Lab,43.156458392939676,35.167374606598145,Con,68.5
173,E14000668,Doncaster Central,South Yorkshire,20.74715487382484,49.084611578426525,Lab,34.3622164373373,57.909538862030494,Lab,34.535003968158534,40.01346768956975,Lab,66.7
174,E14000669,Doncaster North,South Yorkshire,18.315992000202527,52.42398926609453,Lab,27.621005861221406,60.765267536396294,Lab,32.85173718610251,38.675119170475206,Lab,71.7
175,E14000670,Dover,Kent,43.28010512902198,30.748247849633643,Con,52.36308355463187,39.976138244236616,Con,56.86278377152324,32.64629888956826,Con,63.0
176,E14000671,Dudley North,West Midlands,30.80648557591072,41.81143398610234,Lab,46.43536365972757,46.491904394757135,Lab,63.06291571257224,31.624141315014718,Con,71.4
177,E14000672,Dudley South,West Midlands,43.76602983512169,32.590944778853704,Con,56.44807028553499,36.23574939859847,Con,67.89971566054244,25.344488188976378,Con,70.4
178,E14000673,Dulwich and West Norwood,London,22.682138546006776,54.07110315018886,Lab,19.48595550647454,69.63646402935362,Lab,16.42224532969988,65.47563555523683,Lab,22.9
179,S14000013,Dumfries and Galloway,Scotland,29.903536977491964,24.702307338963287,SNP,43.30316479001531,20.882187639295335,Con,44.09574364658072,9.226312002955531,Con,45.1
180,S14000014,"Dumfriesshire, Clydesdale and Tweeddale",Scotland,39.818544519891056,14.790731576322552,Con,49.37709337472428,16.54685074748795,Con,46.00126136756658,8.48778304477855,Con,44.6
181,S14000015,Dundee East,Scotland,14.954861471412265,19.929438621977795,SNP,27.36209467014536,26.034289973909804,SNP,24.263975086688603,13.35114959029971,SNP,38.4
182,S14000016,Dundee West,Scotland,8.614751531958671,23.68833027687078,SNP,16.177573234738993,33.05065025725884,SNP,12.383655210563024,24.281488251280695,SNP,40.7
183,S14000017,Dunfermline and West Fife,Scotland,11.850062623009483,31.748076578994457,SNP,24.68731621250735,33.869829445206825,SNP,20.9547137354624,24.359597621629707,SNP,39.4
