ball,REPUBLICAN_2012,REPUBLICAN_2016,Nohighschool_25plus,Highschool_25plus,Somedegree_25plus,Assocdegree_25plus,Degree_25plus,Under18,18to24,25to34,35to49,50to64,Over65,White,Rural,lessthan50K,50to75k,75to100k,morethan100k,manu_arg,Poverty,Adult obesity raw value,Poor or fair health raw value,Unemployment raw value
35,60.07573347845755,65.60804567028555,11.052244165170558,36.55134649910233,21.85798922800718,9.6967684021544,20.847396768402156,22.386714542190305,8.640394973070018,11.209874326750448,18.27145421903052,21.805745062836625,17.681508078994614,93.17199281867146,61.912372784270175,48.3165170556553,20.077199281867145,13.3,18.30843806104129,19.512028725314185,12.892280071813286,30.79479353680431,14.118491921005386,5.674035078258528
36,68.68865301225316,75.51190896600113,21.75733333333333,39.464000000000006,19.104,6.806666666666667,12.876000000000001,22.594666666666665,8.498666666666667,11.54,18.792,20.878666666666668,17.709333333333333,92.28,63.767870224017074,65.46266666666666,16.398666666666667,8.538666666666666,9.6,21.285333333333334,23.508,34.376,22.916,8.407861314933333
37,68.5225623696856,76.84545062015708,21.504736842105263,40.353157894736846,19.38421052631579,6.595789473684211,12.16,21.268947368421053,7.776315789473684,10.867368421052632,18.694736842105264,22.067894736842103,19.330526315789474,94.47052631578948,98.6241284803706,65.58052631578947,16.431052631578947,8.730526315789474,9.262631578947369,19.309473684210527,22.972631578947368,33.71473684210527,21.99578947368421,8.169600801894736
38,43.416019452947815,42.06250489707481,9.92,28.3,23.27,8.870000000000001,29.669999999999998,25.45,8.629999999999999,12.8,21.240000000000002,19.79,12.040000000000001,55.39,24.29246404523544,31.869999999999997,17.740000000000002,15.12,35.269999999999996,7.56,9.33,29.1,13.84,5.422365783
39,30.1833031534481,27.591384094433256,14.733333333333334,25.5,19.358333333333334,7.258333333333333,33.15,24.758333333333336,9.233333333333333,15.508333333333333,22.03333333333333,18.091666666666665,10.391666666666667,39.925000000000004,1.8638517644501214,35.0,19.5,13.758333333333333,31.766666666666666,5.55,11.825000000000001,26.991666666666664,15.983333333333334,5.8111579708333325
40,65.21088443914456,73.71636891883716,10.14757281553398,41.828155339805825,21.18543689320388,9.784466019417476,17.05728155339806,21.682524271844663,6.764077669902913,9.711650485436893,16.162135922330098,23.968932038834954,21.699029126213592,96.65436893203884,99.75347128330183,54.915533980582524,19.524271844660195,11.6126213592233,13.94368932038835,32.310679611650485,13.325242718446601,30.780582524271846,13.70873786407767,4.805610448349515
41,68.6264250549294,75.59063955836356,15.587284482758621,38.65905172413793,21.908189655172414,8.121982758620689,15.725215517241379,22.242241379310343,7.360991379310345,10.307543103448275,17.14439655172414,22.33771551724138,20.605387931034482,94.06400862068965,99.24650774421437,58.60797413793103,18.53426724137931,10.731681034482758,12.129525862068967,26.440301724137928,16.766810344827586,31.427801724137932,17.030387931034483,5.812248140517242
42,67.12628175418844,73.61865331994532,12.388268156424582,37.88519553072626,23.05977653631285,8.734916201117318,17.928770949720672,20.55558659217877,6.754469273743016,9.416759776536312,16.04078212290503,23.79106145251397,23.441340782122904,94.66061452513966,99.61588144394474,58.683240223463685,18.358938547486034,10.504189944134078,12.45195530726257,22.99608938547486,15.719553072625699,30.282122905027933,15.341061452513967,5.84340581801676
43,52.44918842934957,53.58898240069902,9.496296296296295,27.303703703703704,21.52962962962963,7.948148148148148,33.733333333333334,18.57777777777778,23.24814814814815,12.192592592592591,14.985185185185186,17.188888888888886,13.792592592592591,87.57407407407408,49.942106084485886,57.84444444444444,16.918518518518518,10.866666666666665,14.4,11.644444444444446,23.496296296296297,29.18888888888889,16.992592592592594,5.722842337407407
44,60.10063746548425,59.70992951652216,8.558823529411764,28.795294117647057,22.767058823529414,9.614117647058825,30.259999999999998,24.976470588235294,8.905882352941177,12.656470588235294,20.254117647058823,20.13529411764706,13.06235294117647,86.91882352941177,26.05941381623847,34.28235294117647,18.74470588235294,14.995294117647058,31.976470588235294,16.248235294117645,8.527058823529412,29.114117647058823,12.431764705882353,4.806091968352941
45,59.96072664434164,67.74498721691965,12.1752688172043,39.89811827956989,20.7752688172043,9.58010752688172,17.576612903225808,22.500806451612902,8.461559139784946,11.131720430107526,18.151075268817205,21.720967741935482,18.037903225806453,94.63602150537633,60.31848879776881,51.938978494623655,20.134946236559138,12.63978494623656,15.284677419354837,24.544086021505375,14.072043010752688,31.84489247311828,15.156182795698927,5.94322031545699
